Unnamed: 0,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
48,GA,Memorial Health Meadows Hospital,Vidalia,57,"4,333","17,539","$443,145"
49,GA,Memorial Hospital and Manor,Bainbridge,187,"1,746","5,370","$138,579"
50,GA,Memorial Satilla Health,Waycross,138,"6,367","27,002","$776,635"
51,GA,NGMC Barrow,Winder,56,"1,446","6,406","$251,364"
52,GA,NGMC Braselton,Braselton,0,0,0,$0
53,GA,NGMC Gainesville,Gainesville,975,"36,461","217,256","$6,766,867"
54,GA,NGMC Lumpkin,Dahlonega,24,934,"4,994","$133,259"
55,GA,Northside Hospital Atlanta,Atlanta,719,"32,478","219,253","$9,990,492"
56,GA,Northside Hospital Cherokee,Canton,212,"14,867","90,697","$3,015,981"
57,GA,Northside Hospital Duluth,Duluth,101,"5,269","31,104","$1,039,495"
58,GA,Northside Hospital Forsyth,Cumming,388,"16,160","106,348","$3,185,065"
59,GA,Northside Hospital Gwinnett,Lawrenceville,493,"23,318","157,232","$4,980,045"
60,GA,Perry Hospital,Perry,39,"1,350","7,882","$127,759"
61,GA,Phoebe North Campus,Albany,124,"1,490","20,630","$256,946"
62,GA,Phoebe Putney Memorial Hospital,Albany,384,"16,322","115,534","$2,006,818"
63,GA,Phoebe Sumter Medical Center,Americus,54,"2,968","16,330","$340,453"
64,GA,Piedmont Athens Regional Medical Center,Athens,375,"21,463","103,274","$2,755,775"
65,GA,Piedmont Atlanta Hospital,Atlanta,556,"26,859","157,302","$5,280,906"
66,GA,Piedmont Augusta Hospital,Augusta,482,"24,260","128,880","$1,579,359"
67,GA,Piedmont Augusta Summerville Campus,Augusta,156,"2,917","10,044","$329,252"
68,GA,Piedmont Cartersville Medical Center,Cartersville,119,"7,703","40,649","$1,566,405"
69,GA,Piedmont Columbus Regional - Midtown Campus,Columbus,382,"14,916","95,957","$1,876,214"
70,GA,Piedmont Columbus Regional - Northside,Columbus,97,"3,809","17,720","$497,331"
71,GA,Piedmont Eastside Medical Center,Snellville,287,"10,859","51,664","$1,558,096"
72,GA,Piedmont Fayette Hospital,Fayetteville,290,"18,294","95,157","$2,572,932"
73,GA,Piedmont Henry Hospital,Stockbridge,376,"15,541","84,646","$2,065,889"
74,GA,Piedmont Macon Medical Center,Macon,257,"10,653","52,336","$1,645,142"
75,GA,Piedmont Macon North Hospital,Macon,79,"2,938","9,346","$484,311"
76,GA,Piedmont McDuffie,Thomson,25,628,"2,184","$80,070"
77,GA,Piedmont Mountainside Hospital,Jasper,52,"3,862","18,198","$644,199"
78,GA,Piedmont Newnan Hospital,Newnan,164,"11,410","58,279","$1,788,240"
79,GA,Piedmont Newton Hospital,Covington,94,"5,629","28,802","$804,000"
80,GA,Piedmont Rockdale Hospital,Conyers,141,"9,829","53,460","$1,212,761"
81,GA,Piedmont Walton,Monroe,76,"4,139","17,088","$578,261"
82,GA,Saint Francis -Emory Healthcare,Columbus,325,"10,926","59,378","$1,035,751"
83,GA,Saint Joseph's Hospital,Savannah,210,"9,255","61,196","$1,368,167"
84,GA,Saint Mary's Sacred Heart Hospital,Lavonia,56,"2,282","9,775","$128,121"
85,GA,SGMC Berrien Campus,Nashville,36,114,316,"$31,463"
86,GA,SGMC Smith Northview Hospital,Valdosta,41,"3,194","11,383","$162,701"
87,GA,South Georgia Medical Center,Valdosta,238,"15,161","70,128","$1,321,179"
88,GA,Southeast Georgia Health System - Brunswick Campus,Brunswick,300,"12,546","77,272","$860,945"
89,GA,Southeast Georgia Health System - Camden Campus,Saint Marys,40,"2,004","8,740","$172,790"
90,GA,Southern Regional Medical Center,Riverdale,280,"6,429","34,803","$571,008"
91,GA,Southwell Medical Hospital and Surgical Center,Adel,115,182,624,"$124,184"
92,GA,St. Mary's Hospital,Athens,181,"8,005","41,708","$985,661"
93,GA,Stephens County Hospital,Toccoa,50,"1,101","4,834","$88,962"
94,GA,Tanner Medical Center Carrollton,Carrollton,195,"10,125","61,859","$1,065,332"
95,GA,Tanner Medical Center/Villa Rica,Villa Rica,140,"4,201","22,910","$740,254"
96,GA,Taylor Regional Hospital,Hawkinsville,151,697,"3,259","$71,845"
97,GA,Tift Regional Medical Center,Tifton,181,"9,047","51,550","$1,366,277"
98,GA,Turning Point Care Center,Moultrie,69,"2,071","10,616",$0
99,GA,Union General Hospital,Blairsville,189,"2,503","10,466","$278,465"
100,GA,Upson Regional Medical Center,Thomaston,105,"3,547","18,125","$412,157"
101,GA,VA Atlanta Health Care,Decatur,0,0,0,$0
102,GA,Washington County Regional Medical Center,Sandersville,109,377,"1,476","$64,462"
103,GA,Wayne Memorial Hospital,Jesup,88,"2,610","14,890","$345,592"
104,GA,WellStar Cobb Hospital,Austell,387,"18,180","97,216","$3,995,360"
105,GA,WellStar Douglas Hospital,Douglasville,102,"6,699","32,034","$1,095,757"
106,GA,WellStar Kennestone Hospital,Marietta,662,"35,780","199,441","$5,946,308"
107,GA,WellStar North Fulton Hospital,Roswell,202,"7,864","48,231","$1,253,192"
108,GA,WellStar Paulding Hospital,Hiram,294,"8,448","37,871","$1,336,707"
109,GA,WellStar Spalding Regional Hospital,Griffin,160,"6,168","35,350","$902,877"
110,GA,WellStar West Georgia Medical Center,LaGrange,426,"7,644","30,133","$1,300,407"
111,GA,Winn Army Community Hospital,Fort Stewart,0,0,0,$0
0,GU,Guam Memorial Hospital Authority,Oka Tamuning,201,"6,911","48,462","$246,541"
1,GU,Guam Regional Medical City,Dededo,111,"4,002","34,732","$333,339"
2,GU,Naval Hospital Guam,Agana Heights,0,0,0,$0
0,HI,Adventist Health Castle,Kailua,160,"6,344","26,469","$542,280"
1,HI,Hilo Medical Center,Hilo,211,"7,152","47,628","$633,614"
2,HI,Kaiser Permanente Moanalua Medical Center,Honolulu,285,"11,276","54,546","$997,592"
3,HI,Kona Community Hospital,Kealakekua,94,"2,680","15,399","$277,189"
4,HI,Kuakini Medical Center,Honolulu,357,"2,873","21,544","$348,515"
5,HI,Maui Memorial Medical Center,Wailuku,219,"8,536","65,202","$820,372"
6,HI,Pali Momi Medical Center,Aiea,118,"5,527","35,102","$821,213"
7,HI,Queen's North Hawaii Community Hospital,Kamuela,33,"1,688","6,115","$290,979"
8,HI,Straub Medical Center,Honolulu,159,"6,119","47,375","$1,444,650"
9,HI,The Queen's Medical Center,Honolulu,674,"28,499","199,151","$4,370,865"
10,HI,The Queen's Medical Center West O'Ahu,Ewa Beach,0,0,0,$0
11,HI,Tripler Army Medical Center,Honolulu,0,0,0,$0
12,HI,Wahiawa General Hospital,Wahiawa,156,722,"5,189","$86,307"
13,HI,Wilcox Memorial Hospital,Lihue,72,"2,875","14,832","$390,341"
0,IA,Broadlawns Medical Center,Des Moines,121,"3,675","25,897","$386,647"
1,IA,Cedar Falls Medical Center,Cedar Falls,50,509,"1,721","$155,991"
2,IA,CHI Health Mercy Council Bluffs,Council Bluffs,141,"4,686","22,399","$468,411"
3,IA,"Genesis Medical Center, Davenport, East Rusholme Street",Davenport,359,"14,323","66,480","$1,316,509"
4,IA,"Genesis Medical Center, Davenport, West Central Park Avenue",Davenport,0,0,0,$0
5,IA,Grinnell Regional Medical Center.,Grinnell,33,"1,237","4,253","$154,450"
6,IA,Iowa City VA Health Care System,Iowa City,0,0,0,$0
7,IA,Lakes Regional Hospital,Spirit Lake,44,"1,109","4,399","$113,668"
8,IA,Mary Greeley Medical Center,Ames,199,"8,356","34,406","$697,081"
9,IA,Mercy Iowa City,Iowa City,211,"5,032","22,722","$621,374"
10,IA,Mercy Medical Center,Cedar Rapids,238,"8,983","44,548","$1,470,365"
11,IA,MercyOne Clinton Medical Center,Clinton,107,"3,201","11,982","$478,629"
12,IA,MercyOne Des Moines,Des Moines,599,"28,052","146,478","$3,026,389"
13,IA,MercyOne Dubuque Medical Center,Dubuque,156,"7,472","32,339","$517,776"
14,IA,MercyOne Newton Medical Center,Newton,48,696,"2,742","$126,276"
15,IA,MercyOne North Iowa,Mason City,223,"8,361","40,298","$1,416,033"
16,IA,MercyOne Siouxland Medical Center,Sioux City,196,"6,266","33,637","$569,945"
17,IA,MercyOne Waterloo Medical Center,Waterloo,187,"4,775","28,795","$1,123,456"
18,IA,MercyOne West Des Moines Medical Center,West Des Moines,0,0,0,$0
19,IA,Methodist Jennie Edmundson Hospital,Council Bluffs,110,"6,457","27,413","$381,273"
20,IA,Methodist West Hospital,West Des Moines,0,0,0,$0
21,IA,Ottumwa Regional Health Center,Ottumwa,120,"1,978","8,126","$361,144"
22,IA,Saint Anthony Regional Hospital,Carroll,142,"1,576","5,708","$197,593"
23,IA,Saint Luke's Hospital,Cedar Rapids,311,"12,876","60,826","$1,204,704"
24,IA,Southeast Iowa Regional Medical Center -West Burlington,West Burlington,357,"5,248","26,565","$656,954"
25,IA,"Southeast Iowa Regional Medical Center, Fort Madison Campus",Fort Madison,50,826,"2,880","$155,076"
26,IA,Spencer Hospital,Spencer,64,"1,308","5,259","$263,023"
27,IA,Trinity Bettendorf,Bettendorf,82,"3,753","14,553","$297,931"
28,IA,Trinity Regional Medical Center,Fort Dodge,44,"2,988","15,094","$378,370"
29,IA,Unity Point Health - Iowa Methodist Medical Center,Des Moines,666,"37,496","180,295","$3,474,241"
30,IA,UnityPoint Health - Allen Hospital,Waterloo,203,"9,515","40,510","$795,586"
31,IA,UnityPoint Health - Finley Hospital,Dubuque,106,"3,050","13,530","$355,300"
32,IA,UnityPoint Health - Iowa Lutheran Hospital,Des Moines,189,"8,036","38,352","$607,123"
33,IA,UnityPoint Health - Sioux City,Sioux City,183,"8,316","40,838","$506,977"
34,IA,UnityPoint Health - Trinity Muscatine,Muscatine,13,903,"2,744","$152,988"
35,IA,UnityPoint Health Marshalltown Hospital,Marshalltown,27,897,"2,942","$162,534"
36,IA,University of Iowa Hospitals & Clinics,Iowa City,805,"31,552","225,396","$7,614,383"
37,IA,VA Central Iowa Health Care System,Des Moines,0,0,0,$0
0,ID,Boise VA Medical Center,Boise,0,0,0,$0
1,ID,Eastern Idaho Regional Medical Center,Idaho Falls,290,"9,278","53,648","$1,716,791"
2,ID,Grove Creek Medical Center,Blackfoot,8,396,"1,474","$6,436"
3,ID,Idaho Falls Community Hospital,Idaho Falls,88,"2,110","10,066","$219,528"
4,ID,Kootenai Health,Coeur d'Alene,329,"14,813","88,949","$1,660,832"
5,ID,Madison Memorial Hospital,Rexburg,65,"2,136","8,405","$191,401"
6,ID,Mountain View Hospital,Idaho Falls,41,"2,074","6,738","$746,129"
7,ID,Northwest Specialty Hospital,Post Falls,32,"1,118","2,521","$351,102"
8,ID,Portneuf Medical Center,Pocatello,177,"7,407","35,067","$1,440,854"
9,ID,Saint Alphonsus Medical Center - Nampa,Nampa,96,"6,512","25,983","$706,780"
10,ID,Saint Alphonsus Regional Medical Center,Boise,378,"15,860","89,347","$1,976,768"
11,ID,Saint Joseph Regional Medical Center,Lewiston,130,"3,302","11,935","$530,696"
12,ID,St. Luke's Boise Medical Center,Boise,579,"26,095","127,185","$4,708,679"
13,ID,St. Luke's Magic Valley Medical Center,Twin Falls,217,"10,536","37,183","$1,289,124"
14,ID,St. Luke's Meridian Medical Center,Meridian,0,0,0,$0
15,ID,St. Luke's Nampa Medical Center,Nampa,87,"4,450","19,157","$619,034"
16,ID,Treasure Valley Hospital,Boise,22,254,593,"$317,492"
17,ID,West Valley Medical Center,Caldwell,112,"3,358","13,401","$604,959"
0,IL,Carle Richland Memorial Hospital,Olney,81,"1,218","3,979","$202,539"
1,IL,Northwestern Medicine Kishwaukee Hospital,DeKalb,98,"6,542","24,985","$1,132,434"
2,IL,375th Medical Group - Scott Air Force Base Medical Center,Scott Air Force Base,0,0,0,$0
3,IL,AdventHealth La Grange,La Grange,177,"6,699","30,623","$699,102"
4,IL,Advocate Christ Medical Center,Oak Lawn,782,"38,264","243,912","$4,304,996"
5,IL,Advocate Condell Medical Center,Libertyville,257,"13,379","69,544","$1,602,654"
6,IL,Advocate Good Samaritan Hospital,Downers Grove,293,"15,487","75,606","$1,439,128"
7,IL,Advocate Good Shepherd Hospital,Barrington,176,"10,168","39,961","$1,045,035"
8,IL,Advocate Illinois Masonic Medical Center,Chicago,281,"11,234","53,358","$2,156,271"
9,IL,Advocate Lutheran General Hospital,Park Ridge,643,"27,643","159,096","$3,124,062"
10,IL,Advocate Sherman Hospital,Elgin,255,"14,026","53,791","$1,453,202"
11,IL,Advocate South Suburban Hospital,Hazel Crest,233,"9,679","44,688","$820,081"
12,IL,Advocate Trinity Hospital,Chicago,438,"16,582","80,171","$1,639,339"
13,IL,Alton Memorial Hospital,Alton,121,"6,326","28,894","$651,669"
14,IL,Anderson Hospital,Maryville,120,"6,273","26,651","$699,434"
15,IL,Ascension Alexian Brothers,Elk Grove Village,354,"15,739","79,795","$2,340,364"
16,IL,Ascension Mercy in Aurora,Aurora,258,"5,313","25,753","$1,005,866"
17,IL,Ascension Resurrection,Chicago,229,"11,051","61,485","$1,765,065"
18,IL,Ascension Saint Alexius in Hoffman Estates,Hoffman Estates,318,"17,340","75,285","$1,700,791"
19,IL,Ascension Saint Elizabeth,Chicago,219,"7,753","40,230","$202,651"
20,IL,Ascension Saint Francis,Evanston,146,"5,962","31,039","$1,015,709"
21,IL,Ascension Saint Joseph - Elgin,Elgin,184,"4,379","24,445","$916,469"
22,IL,Ascension Saint Joseph -Chicago,Chicago,303,"9,341","44,554","$927,620"
23,IL,Ascension Saint Joseph-Joliet,Joliet,466,"14,679","79,192","$2,213,649"
24,IL,Ascension Saint Mary -Chicago,Chicago,331,"11,963","72,614","$1,433,904"
25,IL,Ascension Saint Mary- Kankakee,Kankakee,169,"4,959","23,776","$986,900"
26,IL,Blessing Hospital,Quincy,347,"12,933","67,222","$2,054,342"
27,IL,Captain James A. Lovell Federal Health Care Center,North Chicago,0,0,0,$0
28,IL,Carle BroMenn Medical Center,Normal,221,"6,736","33,660","$564,164"
29,IL,Carle Foundation Hospital,Urbana,453,"26,698","122,022","$4,658,723"
30,IL,Carle Health Methodist Hospital,Peoria,285,"11,788","56,756","$1,691,376"
31,IL,Carle Health Pekin Hospital,Pekin,45,"1,606","8,244","$357,521"
32,IL,Carle Health Proctor Hospital,Peoria,153,"2,400","10,651","$648,227"
33,IL,CGH Medical Center,Sterling,98,"3,690","15,865","$1,001,345"
34,IL,City of Hope Chicago Comprehensive Care and Research Center,Zion,73,723,"4,210","$1,742,242"
35,IL,Community First Medical Center,Chicago,279,"3,727","24,674","$460,584"
36,IL,Crossroads Community Hospital,Mount Vernon,47,751,"2,123","$264,436"
37,IL,Decatur Memorial Hospital,Decatur,178,"6,218","34,778","$1,118,498"
38,IL,Edward Hines Junior Hospital,Hines,0,0,0,$0
39,IL,Edward Hospital - Main Campus,Naperville,294,"20,992","93,816","$4,100,349"
40,IL,Elmhurst Hospital,Elmhurst,258,"17,316","76,393","$3,192,902"
41,IL,Evanston Hospital,Evanston,719,"35,146","170,667","$5,838,391"
42,IL,FHN Memorial Hospital,Freeport,100,"2,699","12,207","$594,486"
43,IL,Franciscan Health Olympia Fields,Olympia Fields,178,"9,614","50,122","$1,227,221"
44,IL,Gateway Regional Medical Center,Granite City,305,"4,773","19,076","$746,561"
45,IL,Genesis Medical Center Silvis,Silvis,145,"2,877","9,093","$319,851"
46,IL,Glenbrook Hospital,Glenview,0,0,0,$0
47,IL,Gottlieb Memorial Hospital,Melrose Park,201,"4,667","26,387","$666,836"
48,IL,Graham Hospital,Canton,81,"1,824","7,779","$248,872"
49,IL,Harrisburg Medical Center,Harrisburg,68,775,"2,505","$135,883"
50,IL,Heartland Regional Medical Center,Marion,94,"1,865","6,712","$551,201"
51,IL,Highland Park Hospital,Highland Park,0,0,0,$0
52,IL,Holy Cross Hospital,Chicago,155,"5,738","29,870","$440,058"
53,IL,HSHS Good Shepherd Hospital,Shelbyville,30,246,"1,025","$44,097"
54,IL,HSHS Holy Family Hospital,Greenville,28,580,"1,773","$68,016"
55,IL,HSHS Saint Anthony's Memorial Hospital,Effingham,133,"3,189","12,805","$441,387"
56,IL,HSHS Saint Elizabeth's Hospital,O'Fallon,144,"9,002","42,393","$1,234,318"
57,IL,HSHS Saint John's Hospital,Springfield,432,"18,756","113,908","$2,356,166"
58,IL,HSHS Saint Mary's Hospital,Decatur,207,"5,125","28,585","$747,825"
59,IL,HSHS St. John's Children's Hospital,Springfield,0,0,0,$0
60,IL,HSHS St. Joseph's Hospital Breese,Breese,46,"1,361","4,868","$166,325"
61,IL,Humboldt Park Health,Chicago,185,"4,567","32,771","$349,142"
62,IL,INSIGHT Hospital and Medical Center Chicago,Chicago,91,537,"2,261","$83,618"
63,IL,Iroquois Memorial Hospital,Watseka,60,502,"1,437","$71,698"
64,IL,Jackson Park Hospital,Chicago,183,"2,578","15,469","$211,600"
65,IL,Javon Bea Hospital - Rockton,Rockford,211,"6,696","45,356","$1,266,893"
66,IL,Javon Bea Hospital-Riverside,Rockford,0,0,0,$0
67,IL,Jersey Community Hospital,Jerseyville,46,936,"3,168","$152,076"
68,IL,Jesse Brown VA Medical Center,Chicago,0,0,0,$0
69,IL,"John H. Stroger, Jr. Hospital of Cook County",Chicago,423,"15,950","81,971","$1,455,424"
70,IL,Katherine Shaw Bethea Hospital,Dixon,80,"2,750","9,495","$503,963"
71,IL,Loretto Hospital,Chicago,122,"3,605","19,057","$98,613"
72,IL,Loyola University Medical Center,Maywood,516,"20,733","122,093","$4,710,703"
73,IL,MacNeal Hospital,Berwyn,328,"10,527","44,821","$1,594,441"
74,IL,Marion VA Medical Center,Marion,0,0,0,$0
75,IL,McDonough District Hospital,Macomb,45,"1,110","3,626","$187,435"
76,IL,Memorial Hospital,Belleville,388,"15,718","72,701","$1,585,208"
77,IL,Memorial Hospital of Carbondale,Carbondale,175,"9,601","40,421","$1,253,776"
78,IL,Memorial Hospital Shiloh,Shiloh,94,"5,688","16,748","$434,249"
79,IL,Mitchell Hospital - Hyde Park,Chicago,0,0,0,$0
80,IL,Morris Hospital,Morris,89,"3,041","14,240","$788,882"
81,IL,Mount Sinai Hospital,Chicago,264,"8,743","55,408","$1,285,467"
82,IL,Northwest Community Hospital,Arlington Heights,509,"18,773","82,833","$1,814,080"
83,IL,Northwestern Medicine Central DuPage Hospital,Winfield,395,"20,730","102,339","$6,262,869"
84,IL,Northwestern Medicine Delnor Hospital,Geneva,134,"9,840","42,270","$2,172,697"
85,IL,Northwestern Medicine Huntley Hospital,Huntley,0,0,0,$0
86,IL,Northwestern Medicine Lake Forest Hospital,Lake Forest,122,"10,684","47,115","$2,668,989"
87,IL,Northwestern Medicine McHenry Hospital,McHenry,311,"19,274","89,976","$2,859,057"
88,IL,Northwestern Medicine Palos Hospital,Palos Heights,352,"16,119","88,686","$1,641,047"
89,IL,Northwestern Medicine Prentice Women's Hospital,Chicago,0,0,0,$0
90,IL,Northwestern Medicine Woodstock Hospital,Woodstock,32,"1,429","8,123","$156,935"
91,IL,Northwestern Memorial Hospital,Chicago,930,"45,521","297,183","$9,899,785"
92,IL,OSF Children's Hospital of Illinois,Peoria,0,0,0,$0
93,IL,OSF Heart of Mary Medical Center,Urbana,204,"3,143","14,961","$437,053"
94,IL,OSF Little Company of Mary Medical Center,Evergreen Park,227,"16,597","56,403","$1,189,616"
95,IL,OSF Sacred Heart Medical Center,Danville,103,"4,036","19,274","$562,947"
96,IL,OSF Saint Anthony Medical Center,Rockford,241,"10,229","61,233","$1,640,913"
97,IL,OSF Saint Anthony's Health Center,Alton,49,"2,355","9,558","$397,090"
98,IL,OSF Saint Elizabeth Medical Center,Ottawa,97,"3,459","14,428","$482,700"
99,IL,OSF Saint Francis Medical Center,Peoria,649,"27,048","177,328","$5,137,040"
100,IL,OSF Saint James-John W. Albrecht Medical Center,Pontiac,42,"1,455","5,890","$232,772"
101,IL,OSF Saint Joseph Medical Center,Bloomington,149,"6,478","33,809","$858,125"
102,IL,OSF Saint Mary Medical Center,Galesburg,83,"3,856","16,986","$513,842"
103,IL,Provident Hospital of Cook County,Chicago,25,340,"1,632","$84,787"
104,IL,Riverside Medical Center,Kankakee,300,"9,521","47,706","$1,460,240"
105,IL,RUSH Copley Medical Center,Aurora,210,"10,012","48,783","$1,705,443"
106,IL,Rush Oak Park Hospital,Oak Park,185,"4,382","18,967","$590,563"
107,IL,Rush University Medical Center,Chicago,641,"26,830","161,083","$5,419,855"
108,IL,Saint Anthony Hospital,Chicago,151,"3,617","18,718","$350,067"
109,IL,Saint Bernard Hospital and Health Care Center,Chicago,174,"2,473","15,915","$166,715"
110,IL,Sarah Bush Lincoln,Mattoon,120,"6,804","27,098","$1,180,561"
111,IL,SIH Herrin Hospital,Herrin,114,"5,433","25,970","$784,890"
112,IL,Silver Cross Hospital,New Lenox,336,"19,338","91,162","$1,464,262"
113,IL,Skokie Hospital,Skokie,156,"6,535","29,006","$557,818"
114,IL,South Shore Hospital,Chicago,137,"1,367","12,000","$139,738"
115,IL,Springfield Memorial Hospital,Springfield,439,"19,172","115,865","$2,916,665"
116,IL,SSM Health Good Samaritan Hospital - Mount Vernon,Mount Vernon,124,"7,998","28,585","$666,601"
117,IL,SSM Health Saint Mary's Hospital-Centralia,Centralia,124,"3,169","11,893","$329,144"
118,IL,Swedish Hospital,Chicago,242,"9,673","48,946","$1,250,091"
119,IL,SwedishAmerican Hospital,Rockford,321,"16,985","92,384","$4,010,626"
120,IL,The New Roseland Community Hospital,Chicago,134,"3,489","24,051","$156,021"
121,IL,Thorek Memorial Hospital,Chicago,156,"3,375","18,688","$158,458"
122,IL,Thorek Memorial Hospital Andersonville,Chicago,145,"2,869","14,976","$28,704"
123,IL,Touchette Regional Hospital,Centreville,137,"2,043","7,001","$66,656"
124,IL,Trinity Rock Island,Rock Island,264,"10,397","48,778","$1,058,587"
125,IL,UChicago Medicine,Chicago,678,"29,213","237,188","$10,864,805"
126,IL,UChicago Medicine AdventHealth Bolingbrook,Bolingbrook,134,"5,461","21,669","$770,978"
127,IL,UChicago Medicine AdventHealth GlenOaks,Glendale Heights,138,"4,832","23,456","$318,034"
128,IL,UChicago Medicine AdventHealth Hinsdale,Hinsdale,261,"9,470","44,628","$975,613"
129,IL,UChicago Medicine Center for Care and Discovery - Hyde Park,Chicago,0,0,0,$0
130,IL,UChicago Medicine Ingalls Memorial,Harvey,301,"10,344","61,772","$1,548,187"
131,IL,UnityPoint Health Trinity - Moline,Moline,0,0,0,$0
132,IL,University of Illinois Medical Center,Chicago,484,"17,422","107,204","$3,229,886"
133,IL,VA Illiana Health Care System,Danville,0,0,0,$0
134,IL,Vista Medical Center East,Waukegan,190,"8,459","36,935","$1,095,158"
135,IL,Weiss Memorial Hospital,Chicago,144,"3,815","19,421","$530,549"
136,IL,West Suburban Medical Center,Oak Park,174,"6,377","28,063","$808,495"
0,IN,Ascension Medical Group St. Vincent - Heart Care,Carmel,107,"4,342","21,932","$754,082"
1,IN,Ascension Saint Vincent Carmel,Carmel,121,"7,060","22,532","$793,129"
2,IN,Ascension Saint Vincent Evansville,Evansville,376,"13,965","59,362","$2,423,092"
3,IN,Ascension Saint Vincent Fishers,Fishers,46,"1,474","4,288","$245,574"
4,IN,Ascension Saint Vincent Indianapolis Hospital,Indianapolis,856,"29,267","193,156","$5,147,985"
5,IN,Ascension Saint Vincent Women's Hospital,Indianapolis,182,"3,026","15,720","$66,095"
6,IN,Ascension St. Vincent Anderson,Anderson,157,"5,258","28,548","$717,819"
7,IN,Ascension St. Vincent Kokomo,Kokomo,129,"4,640","18,717","$626,579"
8,IN,Ascension St. Vincent Plainfield,Plainfield,0,0,0,$0
9,IN,Baptist Health Floyd,New Albany,248,"11,777","58,599","$2,186,235"
10,IN,Bluffton Regional Medical Center,Bluffton,54,"1,059","3,710","$214,246"
11,IN,Clark Memorial Hospital,Jeffersonville,168,"7,520","39,066","$755,753"
12,IN,Columbus Regional Hospital,Columbus,266,"9,199","37,514","$816,576"
13,IN,Community Fairbanks Recovery Center,Indianapolis,52,"2,086","8,924","$38,835"
14,IN,Community Heart And Vascular Hospital,Indianapolis,56,"2,545","10,385","$376,887"
15,IN,Community Hospital,Munster,399,"15,599","85,109","$2,251,295"
16,IN,Community Hospital Anderson,Anderson,124,"5,700","26,301","$716,249"
17,IN,Community Hospital East,Indianapolis,366,"20,497","101,422","$3,535,657"
18,IN,Community Hospital North,Indianapolis,328,"16,839","91,323","$1,742,611"
19,IN,Community Hospital South,Indianapolis,169,"9,419","42,473","$1,069,716"
20,IN,Community Howard Regional Health,Kokomo,113,"4,631","19,760","$674,599"
21,IN,Danville Hospital (Main Campus),Danville,130,"5,374","22,971","$1,064,003"
22,IN,Daviess Community Hospital,Washington,68,"1,271","4,358","$170,454"
23,IN,Deaconess Gateway Hospital,Newburgh,0,0,0,$0
24,IN,Deaconess Midtown Hospital,Evansville,545,"31,383","157,298","$3,582,625"
25,IN,Dupont Hospital,Fort Wayne,131,"4,925","21,084","$991,633"
26,IN,Elkhart General Hospital,Elkhart,244,"9,727","51,145","$1,051,000"
27,IN,Fort Wayne VA Medical Center,Fort Wayne,0,0,0,$0
28,IN,Franciscan Health Crawfordsville,Crawfordsville,40,982,"4,343","$271,641"
29,IN,Franciscan Health Indianapolis,Indianapolis,519,"19,474","106,327","$3,645,737"
30,IN,Franciscan Health Lafayette East,Lafayette,199,"10,419","45,105","$1,514,921"
31,IN,Franciscan Beacon Hospital,La Porte,8,125,330,"$29,618"
32,IN,Franciscan Health Michigan City,Michigan City,113,"7,132","28,720","$1,030,883"
33,IN,Franciscan Health Mooresville Campus,Mooresville,80,"2,238","8,168","$597,700"
34,IN,Franciscan Health Munster,Munster,75,"2,862","14,520","$520,539"
35,IN,Franciscan Health Carmel,Carmel,6,268,439,"$28,275"
36,IN,Franciscan Health Crown Point,Crown Point,192,"9,428","39,279","$1,018,009"
37,IN,Franciscan Health Dyer Campus,Dyer,142,"4,194","21,214","$616,285"
38,IN,Franciscan Health Orthopedic Hospital Carmel,Carmel,0,0,0,$0
39,IN,Good Samaritan Hospital,Vincennes,144,"4,051","17,263","$660,620"
40,IN,Goshen Hospital,Goshen,109,"4,426","22,097","$786,645"
41,IN,Hancock Regional Hospital,Greenfield,95,"3,027","10,900","$442,597"
42,IN,Hendricks Regional Health Brownsburg Hospital,Brownsburg,0,0,0,$0
43,IN,Henry Community Health,New Castle,48,"2,437","9,684","$392,510"
44,IN,IU Health Arnett Hospital,Lafayette,185,"11,677","50,739","$1,614,903"
45,IN,IU Health Ball Memorial Hospital,Muncie,330,"15,009","82,884","$2,236,726"
46,IN,IU Health Bloomington Hospital,Bloomington,270,"12,006","62,579","$1,985,810"
47,IN,IU Health Methodist University,Indianapolis,"1,271","44,898","311,967","$9,464,426"
48,IN,IU Health North Hospital,Carmel,149,"10,081","36,766","$1,270,096"
49,IN,IU Health Saxony Hospital,Fishers,0,0,0,$0
50,IN,IU Health University Hospital,Indianapolis,0,0,0,$0
51,IN,IU Health West Hospital,Avon,156,"8,627","42,031","$1,193,776"
52,IN,Johnson Memorial Health,Franklin,49,"2,091","7,546","$327,454"
53,IN,Logansport Memorial Hospital,Logansport,37,"1,421","5,805","$263,747"
54,IN,Lutheran Downtown Hospital,Fort Wayne,60,"1,501","7,430","$219,024"
55,IN,Lutheran Health Network The Orthopedic Hospital,Fort Wayne,39,"1,591","3,696","$796,748"
56,IN,Lutheran Hospital,Fort Wayne,387,"17,611","97,561","$3,675,310"
57,IN,Lutheran Kosciusko Hospital,Warsaw,72,"2,983","12,292","$821,276"
58,IN,Marion General Hospital,Marion,126,"4,026","18,292","$558,390"
59,IN,Memorial Hospital,South Bend,449,"18,675","105,196","$1,817,007"
60,IN,Memorial Hospital and Health Care Center,Jasper,128,"3,238","14,943","$719,999"
